Entry,Category,Destination,Headline,Teaser Copy,Description Subcopy,Amex Integration,Links within Descriptions [ URLs ]
1,THE AMERICAS,Miami,"Miami off the Beach
",The easiest and surest way to get your sun-and-sea fix,"Sneaking off to Miami for a weekend has long been one of the easiest, surest ways to get your sun-and-sea fix. And while a wave of new hotels in South Beach—like the maximalist <link>Faena Hotel Miami Beach</link>, with its mammoth golden sculpture by Damien Hirst—keeps Collins Avenue fresh, less predictable parts of town (miles from the beach) are worth exploring. The EAST, Miami hotel on the top floors of the Brickell Center is a great home base from which to check out the city’s newly cool downtown as well as adjacent up-and-coming neighborhoods. You could easily spend several hours wandering around arty Wynwood, stopping by galleries and boutiques, and checking out the vibrant Wynwood Walls with murals from street-artist legends like Os Gemeos. Before you leave, have dinner at chef Brad Kilgore’s industrial cool Alter (don’t miss the soft-cooked egg with sea scallop espuma and caviar). End up back at Sugar, EAST’s 40th-floor rooftop bar, for a late-night mezcal and epic city views—and a scene to rival any South Beach pool party.
","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like the <link>Faena Hotel Miami Beach</link>. Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
2,THE AMERICAS,Charleston,Charleston’s True South,The Low Country's Culinary & Cultural Mecca graceful lifestyle,"With its historical architecture, excess of top-notch restaurants, easily accessible beaches and plantations, and graceful lifestyle, Charleston is a perennial favorite for anyone in search of an authentic Low Country experience. But so many choices! First, the food: Lunch should be either cut-to-order brisket at North Charleston foodie magnet Lewis Barbecue, or ceviche and lobster rolls at 167 Raw. For dinner, you’ll need to book well in advance for a table at Husk, which turns out modern takes on Southern fare, and for seafood at The Ordinary, in a converted bank. Browse the perfectly proportioned Gibbes Museum of Art, with its collection of painted ivory miniatures, then wander the picturesque lanes south of Broad, topping it all off at the speakeasy-style Gin Joint or share a platter of Carolina oysters at The Darling. Two new hotels stand out in the central downtown area: the midcentury-mod-inspired Dewberry in the Upper King District (great for shopping), and the upscale, family-friendly Beach Club at Charleston Harbor Resort & Marina, a 10-minute water-taxi or trolley ride across the harbor, with knockout city views and large pools to cool off in.","With the Platinum Card® from American Express, you can earn 5x Membership Rewards® Points for flights booked directly with airlines or American Express Travel. Terms apply. ",https://www.americanexpress.com/us/credit-cards/benefits/view-all/platinum
3,THE AMERICAS,Telluride,"Skiing in Telluride",A Western-inflected Bohemian vibe & North America's best skiing—all in one place,"You come to Telluride for two things: 1. Some of the best (read: adrenaline-inducing) in-bounds skiing in North America; and 2. The Western-inflected Bohemian vibe that thrums through this remote former mining town. You could build a whole trip around hiking Palmyra Peak, which tops out at 13,320 feet, followed by a well-deserved dinner including standout wines at Alpino Vino, a European on-mountain chalet with a huge deck and ubiquitous sheep pelts. If you’re more of a greens-and-blues, done-by-1 p.m. type of skier, know that you’ll almost never wait in snaking lines here as there are hardly ever crowds. That means plenty of time to hit the Last Dollar Saloon in town for a beer once you’ve clicked out for the day. Or if you’re hungry, head to The Butcher &  Baker, also the breakfast place in town, for a Bloody and the turkey and fig-jam sandwich. You’ll want to drop your boot bag at the newly opened Dunton Town House–a five-bedroom inn with Austrian antiques and linens that’s only a two-minute walk from the gondola, your eminently Instagrammable ride to and from the resort. 
","With the Platinum Card® from American Express, you can earn 5x Membership Rewards® Points for flights booked directly with airlines or American Express Travel. Terms apply. ",https://www.americanexpress.com/us/credit-cards/benefits/view-all/platinum
4,THE AMERICAS,Sonoma,"Sonoma Revisited",Something special: wine country's newest restaurant-inn,"Sonoma’s Healdsburg feels white-hot these days now that SingleThread Farms has opened. Owners Kyle and Katina Connaughton spent years cooking and farming in Hokkaido, Japan, and Berkshire, England, before returning to their native California with a vision for a restaurant-inn that would embrace the Japanese concept of omotenashi—the sort of thoughtful (and rigorous) approach to hospitality found in the best ryokans. In the dining room, they do an ever-evolving 11-course tasting menu that’s as much kaiseki as it is West Coast farm-to-table, with produce from their own fields. Upstairs are five AvroKO-designed loftlike rooms with wood-beam ceilings and exposed white brick walls (and Teforia tea infusers and house-made chamomile ice cream in the minibar). The room service breakfast (grilled trout, clay-pot rice, and umami-packed miso soup) might make you want to hole up here, but don’t. Over a long weekend you can hit Armstrong Redwoods State Natural Reserve for a hike before finishing the day with tastings at Medlock Ames and Scribe Winery.
","With the Platinum Card® from American Express, you can earn 5x Membership Rewards® Points for flights booked directly with airlines or American Express Travel. Terms apply. ",https://www.americanexpress.com/us/credit-cards/benefits/view-all/platinum
5,THE AMERICAS,Los Angeles,"Doing It All in Los Angeles ",How to make the most of a long weekend in the city of angels,"In a city that feels like 15 cities—and has the traffic to match—it’s hard, but not impossible, to tick the beach, food, and culture boxes. You just have to be strategic. We like to use the old-school glamorous <link>Hotel Bel Air</link> or <link>Beverly Hills Hotel</link> as our base. Breakfast is big here, and if you haven’t had that ricotta toast with raspberry jam at Sqirl in Silver Lake, go. Same can be said for Destroyer in Culver City, whose food, mostly Scandi-style with some Asian ingredients, goes way beyond egg sandwiches (think beef tartare with smoked egg cream). For a beach day, nothing beats Malibu. Take the 101 to Kanan Dume Road, through the Santa Monica Mountains for a spectacular beach reveal at the top. Finally, there’s so much going on in downtown L.A. that you could spend a whole day there. Stroll through Grand Central Market (find your caffeine fix at G&B Coffee), then hit The Broad to see works by Andy Warhol, Ellsworth Kelly, Cy Twombly, and more. Head next door to chef Timothy Holingsworth’s Otium. With dishes like burrata tart with tomato, curry and truffle, it may be the best meal you have all week.
","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like the <link>Hotel Bel Air</link> and <link>Beverly Hills Hotel</link>. Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
6,THE AMERICAS,Yucatan,"Yucatan Without the Crowds",Escape crowds in Cancun and head to Mayakoba,"Cancún and Playa del Carmen are obvious ways into Mexico’s Yucatan peninsula, but they’re also extremely touristy. To skip the high-rises and Spring Breakers, head to Mayakoba, the exclusive enclave midway between the two party towns. <link>Banyan Tree</link> and <link>Fairmont</link> have fabulous properties along the one-mile stretch of beach, but the stylishly sleek <link>Rosewood Mayakoba</link>, with its midcentury-mod-meets-Asian look and throw-back poolside bar, is the standout. For an upscale boho experience, head 40 miles down the coast to Tulum, stopping at the Mayan ruins along the way. Stay at the newly opened Casa Malca and nab a table at Hartwood—which might have the best food (wood-fire cooked and locally sourced) and vibe (open air with a hip international staff) outside of Mexico City. For an authentic inland experience, rent a car and drive three hours (or catch a flight from Cancún) to the colonial town of Mérida and stay at Chablé, a superchic wellness retreat built around a natural cenote. In the evenings, wander the town’s leafy Plaza Grande, eat dinner at K’u’uk (where else will you try modern Mayan cuisine?) and end with people watching along Paseo de Montejo, Merida’s Fifth Avenue.

","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like <link>Banyan Tree</link>, <link>Fairmont</link>, and the <link>Rosewood Mayakoba.</link> Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
7,THE AMERICAS,Brooklyn,Escape from New York,This NYC borough is known for its architecture and a white-hot culinary scene,"Great hotels in Brooklyn used to be few and far between. Not anymore. With new properties opening in neighborhoods like Williamsburg and Gowanus, it’s easier than ever to make the super-hip borough your home base on your next trip to New York. The new 1 Hotel Brooklyn Bridge puts you right at the top of Brooklyn Heights, with waterfront views of downtown Manhattan. From there, you can spend the day exploring Prospect Park, which was designed by the architects Olmsted and Vaux after they finished Central Park. Rent a kayak or a pedal boat and cruise around Brooklyn’s only lake, or rent a bike and explore the park’s 585 acres. After you return your rental, it’s about a 10-minute walk east to a very sweet zoo that’s totally doable in an hour or two—the limit of most parents’ zoo tolerance. Just north of the park is <link>Miti Miti</link> in Park Slope, a cool margarita bar with great empanadas and tuna ceviche.
","With the Platinum Card® from American Express, you can earn 5x Membership Rewards® Points for flights booked directly with airlines or American Express Travel. Terms apply. ",https://www.americanexpress.com/us/credit-cards/benefits/view-all/platinum
8,THE AMERICAS,Vancouver,Vancouver and Vancouver Island,"Beaches, mountains, and fabulous food. What's not to love?","Beaches, mountains, abundant sea life, and fabulous food. What’s not to love about the largest city and island in British Columbia? Stay at the <link>Rosewood Hotel Georgia</link> or the sleek, Asian-inspired <link>Fairmont Pacific Rim</link> with its 60-foot outdoor pool and private cabana. The best dinner you’ll have all week will be at chef David Hawksworth’s Nightingale restaurant in Coal Harbor. Go to town on the small plates (roasted bone marrow, squash tortelloni with sage butter and pumpkin seed, grilled bratwurst). Surely one of the most romantic weekend getaways in the world can be found on the wild west coast of Vancouver Island at the Wickaninnish Inn—it’s just a 35-minute flight from the city to Tofino, on Clayoquot Sound. The property is surrounded by forests of giant, ancient evergreens, and sightings of whales, sea lions, and even bears are not unusual. We like to visit in winter when dramatic storms roll in from the Pacific. They’re best viewed from bed, with the fire roaring.
 
 
","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like the <link>Rosewood Hotel Georgia</link> and the <link>Fairmont Pacific Rim.</link> Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
26,THE AMERICAS,Buenos Aires,"Buenos Aires and Mendoza",The new four-day weekend culinary adventure,"Savvy East Coasters already know that Buenos Aires, one overnight flight and time zone away, can be done in a four-day weekend. That’s just enough time to check out the tango clubs of Palermo and San Telmo’s Sunday antiques markets, while eating your way through the city’s hot dining scene (Tomás Kalika’s Mishiguene has New York–worthy pastrami, while the ceviche at superchef Gaston Acurio’s La Mar is even more delicate than at his Lima flagship)—especially when you’re based downtown at the glamorous <link>Palacio Duhau—Park Hyatt Buenos Aires</link>. If you’ve got more time and a taste for the grape, consider tacking on a few days in Mendoza’s Uco Valley. Book a room at Argentinian flame-master Francis Mallman’s <link>Vines Resort</link>, where you can bike through 80 acres of vineyards with the Andes as your backdrop and satisfy all your malbec and asado cravings.
","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like the <link>Palacio Duhau—Park Hyatt Buenos Aires</link> and <link>Vines Resort.</link> Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
27,THE AMERICAS,Chile,"Chile’s Atacama Desert",The world's trippiest landscape and best view of the night sky,"Two thousand six hundred miles long and no more than 115 miles wide at any one point, Chile has some fairly insane geography that can change drastically during a two-hour plane ride. The Atacama Desert might just be the trippiest landscape you’ll find in this long, thin country—it’s the driest desert in the world, and you can see the Milky Way more clearly here than anywhere else on the planet. You’ll also want to explore surreal rock formations like the Valle de la Luna and head up 14,000 feet to take in boiling natural geysers before dawn. Getting informed guides is crucial, and two hotels have the best in town: the Tierra Atacama Hotel & Spa, which also has a great little hydro-therapy spa, and the newly reopened <link>Explora Atacama</link>, known for its on-site observatory and its seven-night program for those who want to hike a volcano. Fly LATA from Santiago to Calama (about two hours of cruising over the Chilean Andes) and have your hotel arrange for a transfer to San Pedro de Atacama. 
","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like the <link>Explora Atacama.</link> Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
28,THE AMERICAS,Nicaragua,"Next up: Nicaragua 
",Home of Central America's newest luxury accommodations,"The country has long been called the next Costa Rica for its lush landscape, pilgrimage-worthy surf breaks, and laid-back eco-vibe, but for years it lacked the high-quality hotels to truly compete with its neighbor. Enter Nekupe, an eight-room resort south of Grenada where you can trek through the jungle, do yoga, bird watch, and straight-up hammock relax all in one day. Fly to Managua from major U.S. hubs, and there’s no need to rent a car: The resort will pick you up and ferry you into the mountains, which makes Nekupe the perfect long-weekend escape. If you’ve got more time, add a few days at its sister property, <link>Mukul Beach, Golf & Spa</link>, which is one of the prettiest beachside retreats anywhere, on a virgin stretch of Pacific beach surrounded by bohios, or villas, with plunge pools and daybeds. You may never want to leave.
","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like the <link>Mukul Beach, Golf & Spa.</link> Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
29,THE AMERICAS,Mexico City,"Central Mexico City’s Scene – Plus a Side Trip
",Discover the small neighborhoods in one of the world's largest cities,"There are so many cool neighborhoods to discover in Mexico City, especially the once-deserted Centro, with its new crop of outstanding bars. Home base is Downtown México, a design-forward 17-room hotel from Grupo Habita that has an excellent in-house restaurant, Azul Histórico, doing killer mole, a mezzanine shopping arcade with silver necklaces and silk scarves that you’d actually want to buy, and a rooftop pool. By day, you can eat your way through the neighborhood’s best tacos, tortas, and aguas frescas with a street-food walking tour from Club Tengo Hambre. After dark, duck into cantinas like La Opera for Negra Modelo and live mariachi and conjunto jams. To easily see another side of the country, tack on an overnight in Puebla, less than two hours by car from the capital, where the gorgeous new Rosewood Puebla hotel, set inside a collection of recently restored historic buildings, has just opened in this city’s Centro. It’s a quick walk to La Purificadora for a late lunch, and the rooftop pool is the place to be for sundown, with a mezcal margarita in hand.
","With the Platinum Card® from American Express, you can earn 5x Membership Rewards® Points for flights booked directly with airlines or American Express Travel. Terms apply. ",https://www.americanexpress.com/us/credit-cards/benefits/view-all/platinum
30,THE AMERICAS,Bermuda,"Bermuda’s Back","America's Cup fever has taken over the island. Go, and go now. ","This is the year to go, with the superfast yachts of the America’s Cup arriving in May for races around the Great Bay and a rejuvenated <link>Hamilton Princess Hotel & Beach Club</link>, fresh off a $100 million reboot that added a new seafood-minded restaurant from Red Rooster chef Marcus Samuelsson and a striking infinity pool. The island’s many pink-sand beaches are as inviting as ever—the calm surf at Horseshoe Bay makes it a favorite—and there are few things better than a dark ’n’ stormy cocktail overlooking the Atlantic from the terrace bar at The Reefs.
","When you explore the world with the Platinum Card® or Business Platinum Card® from American Express, you’ll have the key to Fine Hotels & Resorts like the <link>Hamilton Princess Hotel & Beach Club.</link> Terms apply. ",https://www.americanexpressfhr.com/featured_hotel_searches/new
